"","Program/Agency Name","Project Name","Sub-Project Name","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","Total 10 Year","Ward Number","Ward","Category"
"4624","Toronto Police Service","SOGR","SOGR 2023-2032",4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,44000,"CW","City Wide","State of Good Repair"
"4625","Toronto Police Service","Electronic Surveillance System Lifecycle Replaceme","Electronic Surveillance 2023-2032",0,244,0,0,0,0,153,92,105,0,594,"CW","City Wide","State of Good Repair"
"4626","Toronto & Region Conservation Authority","WATERFRONT DEVELOPMENT","Wtrfrnt Dev: Ashbridges Bay / Coatsworth Cut",0,125,125,125,125,125,125,125,125,125,1125,"19","Beaches-East York","State of Good Repair"
"4627","Toronto & Region Conservation Authority","WATERFRONT DEVELOPMENT","Tommy Thompson- Cell Capping",50,50,50,50,50,50,50,50,50,50,500,"14","Toronto-Danforth","State of Good Repair"
"4628","TO Live","St Lawrence Centre for the Arts - AODA","STLC - AODA Compliance Projects (Future)",0,8412,4680,0,0,500,0,0,0,0,13592,"13","Toronto Centre","Legislated"
"4629","TO Live","MH - BCA Recommendations","MH - BCA Recommendations (Future)",0,0,0,0,0,0,0,3000,3000,3000,9000,"13","Toronto Centre","State of Good Repair"
"4630","Toronto & Region Conservation Authority","WATERFRONT DEVELOPMENT","Wtrfrnt Dev:Environmental Monitoring Program",245,0,0,0,0,0,0,0,0,0,245,"CW","City Wide","State of Good Repair"
"4631","Exhibition Place","ENERCARE CENTRE (formerly DEC)","Replace AHU - Heritage Court in Phases",0,0,100,100,100,0,0,0,0,0,300,"10","Spadina-Fort York","State of Good Repair"
"4632","Exhibition Place","ENERCARE CENTRE (formerly DEC)","Escalators Replacement",0,0,0,300,1500,150,0,0,0,350,2300,"10","Spadina-Fort York","State of Good Repair"
"4633","Toronto Zoo","Information Systems","Information Systems (Future Years)",0,0,1100,1100,1100,1100,1100,1100,1100,1100,8800,"25","Scarborough-Rouge Park","State of Good Repair"
"4634","Exhibition Place","ENERCARE CENTRE (formerly DEC)","Replace Boilers, in Phases",0,0,220,440,0,0,0,0,0,0,660,"10","Spadina-Fort York","State of Good Repair"
"4635","TO Live","Meridian Arts Centre - SOGR","MAC - BCA Recommendations (Future)",0,0,0,0,0,0,0,0,3000,5000,8000,"18","Willowdale","State of Good Repair"
"4636","Exhibition Place","PARKS, PARKING LOTS AND ROADS","West Bailey Bridge Investigation & Retrofit",0,0,0,100,0,0,0,0,100,0,200,"10","Spadina-Fort York","State of Good Repair"
"4637","Exhibition Place","PARKS, PARKING LOTS AND ROADS","New Bus Shelter by Press Bldg.",0,0,50,0,0,0,0,0,0,0,50,"10","Spadina-Fort York","Service Improvement and Enhancement"
"4638","Toronto Police Service","Information Technology Storage Growth","IT Storage Growth 2023-2032",500,0,0,0,0,0,0,0,0,0,500,"CW","City Wide","Service Improvement and Enhancement"
"4639","Toronto Police Service","Information Technology Storage Growth","IT Storage Growth 2023-2032",0,500,500,500,500,500,500,500,500,500,4500,"CW","City Wide","Service Improvement and Enhancement"
"4640","Exhibition Place","M/E & COMMUNICATION INFRASTRUCTURE","Upgrade Communication Infrastructure",0,350,350,350,350,350,350,350,350,500,3300,"10","Spadina-Fort York","State of Good Repair"
"4641","Exhibition Place","GENERAL SERVICES BUILDING","Localized Slab on Grade Replacement",0,50,0,0,0,0,0,0,0,0,50,"10","Spadina-Fort York","State of Good Repair"
"4642","Exhibition Place","BEANFIELD CENTRE (formerly ALLSTREAM CENTRE)","Electrical Distribution System",0,50,300,0,0,0,0,0,0,0,350,"10","Spadina-Fort York","State of Good Repair"
"4643","Toronto Public Library","Parliament Street Relocation and Expansion","Parliament Street Library - Design (SOGR)",0,0,0,0,0,0,461,248,0,0,709,"13","Toronto Centre","Growth Related"
"4644","Toronto Police Service","Long Term Facility Plan","13/ 53 Division New Build 2023-2032",0,0,0,0,0,0,300,3709,19068,17035,40112,"CW","City Wide","Service Improvement and Enhancement"
"4645","TO Live","St Lawrence Centre for the Arts - SOGR","STLC - Studies and Redevelopment Planning(2021-23)",3000,0,0,0,0,0,0,0,0,0,3000,"13","Toronto Centre","Growth Related"
"4646","Toronto Police Service","Body worn Camera Lifecycle","Body-worn Camera Lifecycle 2023-2032",0,0,0,0,0,500,0,0,0,0,500,"CW","City Wide","Service Improvement and Enhancement"
"4647","Toronto Police Service","Long Term Facility Plan","2023 Reduction Target - Fac & Process Imp",683,0,0,0,0,0,0,0,0,0,683,"CW","City Wide","Service Improvement and Enhancement"
"4648","Toronto Police Service","SOGR","2023 Reduction Target - SOGR",-792,0,0,0,0,0,0,0,0,0,-792,"CW","City Wide","State of Good Repair"
"4649","Toronto Police Service","Transforming Corporate Support (HRMS, TRMS)","2023 Reduction Target - HRMS, TRMS",-40,0,0,0,0,0,0,0,0,0,-40,"CW","City Wide","Service Improvement and Enhancement"
"4650","Toronto Zoo","Exhibit Refurbishment","Exhibit Refurbishment (Current)",5237,0,0,0,0,0,0,0,0,0,5237,"25","Scarborough-Rouge Park","State of Good Repair"
"4651","Exhibition Place","PARKS, PARKING LOTS AND ROADS","Fountain Retrofit -Various Locations",150,0,0,0,0,0,0,0,0,0,150,"10","Spadina-Fort York","State of Good Repair"
"4652","Exhibition Place","ENERCARE CENTRE (formerly DEC)","Replace Pumps in Chillers",290,0,0,0,0,0,0,0,0,0,290,"10","Spadina-Fort York","State of Good Repair"
"4653","Exhibition Place","SPECIAL PROJECTS","Revitalization of Centennial Square",1000,0,0,0,0,0,0,0,0,0,1000,"10","Spadina-Fort York","Service Improvement and Enhancement"
"4654","Exhibition Place","PARKS, PARKING LOTS AND ROADS","New Brunswick Way Improvement/Rd Widening",0,500,0,0,0,0,0,0,0,0,500,"10","Spadina-Fort York","Service Improvement and Enhancement"
"4655","Exhibition Place","ENERCARE CENTRE (formerly DEC)","2023 Reduction Target -Replace Pump & Piping Loops",-185,0,0,0,0,0,0,0,0,0,-185,"10","Spadina-Fort York","State of Good Repair"
"4656","Exhibition Place","COLISEUM COMPLEX","2023 Reduction Target -Roof Replacement (Industry",-280,0,0,0,0,0,0,0,0,0,-280,"10","Spadina-Fort York","State of Good Repair"
"4657","Toronto Public Library","Dawes Road Neighbourhood Library","Dawes Road Library Design & Construction (Growth)",400,400,400,0,0,0,0,0,0,0,1200,"19","Beaches-East York","Growth Related"
"4658","Toronto Public Library","Multi-Branch Renovation","Multi-Branch Renovation SOGR",0,5050,0,0,0,0,0,0,0,0,5050,"CW","City Wide","State of Good Repair"
"4659","Toronto Public Library","Centennial Renovation & Expansion","Centennial  - Construction (Growth)",3500,5713,2305,0,0,0,0,0,0,0,11518,"6","York Centre","Growth Related"
"4660","Toronto Public Library","Technology Asset Management Program","Technology Asset Management Program",0,613,0,0,0,0,0,0,0,0,613,"CW","City Wide","State of Good Repair"
"4661","Toronto Public Library","Technology Asset Management Program","Technology Asset Management Program",6867,0,0,0,0,0,0,0,0,0,6867,"CW","City Wide","State of Good Repair"
"4662","Toronto Public Library","Bridlewood Relocation and Expansion","Bridlewood Relocation and Expansion",3862,1417,0,0,0,0,0,0,0,0,5279,"22","Scarborough-Agincourt","Growth Related"
"4663","Toronto Public Library","MB Renovation Pgm Accessibility Retrofit","MB Accessibility Retrofit",1865.29,1282,0,0,0,0,0,0,0,0,3147.29,"CW","City Wide","Legislated"
"4664","Toronto Public Library","High Park Renovation & Expansion","2023 Reduction Target -High Park Renovation-Design",-230,0,0,0,0,0,0,0,0,0,-230,"4","Parkdale-High Park","Growth Related"
"4665","Toronto Public Library","Multi-Branch Renovation","Multi-Branch Renovation SOGR  scope change",0,2679,0,0,0,0,0,0,0,0,2679,"CW","City Wide","State of Good Repair"
"4666","Toronto Public Library","Centennial Renovation & Expansion","Centennial  - Construction (Growth) Scope Change",0,0,3065,0,0,0,0,0,0,0,3065,"6","York Centre","Growth Related"
"4667","Toronto Transit Commission","Fire Ventilation Upgrade","Fire Ventilation Upgrade - SOGR",0,8824,8000,5898,6744,18318,23921,18148,16631,6880,113364,"CW","City Wide","State of Good Repair"
"4668","Toronto Transit Commission","Information Technology System-Infrastructure","Computer Equipment & Software - SOGR",0,0,0,0,0,4689,7252,6925,6009,0,24875,"CW","City Wide","State of Good Repair"
"4669","Toronto Transit Commission","Information Technology System-Infrastructure","Computer Equipment & Software - SOGR",0,0,0,0,0,0,0,0,0,7475,7475,"CW","City Wide","State of Good Repair"
"4670","Toronto Transit Commission","Fire Ventilation Upgrade","Fire Ventilation Upgrade - SOGR",0,16715,13091,7877,3591,0,0,0,0,0,41274,"CW","City Wide","State of Good Repair"
"4671","Toronto Transit Commission","Automotive Non-Revenue Vehicles","Automotive Non-Revenue Vehicles - SOGR",0,0,0,0,0,0,2701,2705,2706,1940,10052,"CW","City Wide","State of Good Repair"
"4672","Toronto Transit Commission","Subway Track","Subway Track - SOGR",0,0,20438,20774,20467,20008,20089,0,0,-1,101775,"CW","City Wide","State of Good Repair"
"4673","Toronto Transit Commission","Subway Track","Subway Track - SOGR",0,0,0,0,0,0,0,20831,14800,9090,44721,"CW","City Wide","State of Good Repair"
"4674","Toronto Transit Commission","Finishes - Various","Finishes- H&S",0,0,550,0,0,2136,2184,2233,2233,0,9336,"CW","City Wide","Health and Safety"
"4675","Toronto Transit Commission","Finishes - Various","Finishes- H&S",0,0,0,0,0,0,0,0,0,2233,2233,"CW","City Wide","Health and Safety"
"4676","Toronto Transit Commission","Surface Track","Surface Track - SOGR",0,0,0,9530,10460,5806,16267,38082,21480,0,101625,"CW","City Wide","State of Good Repair"
"4677","Toronto Transit Commission","Fare Handling Equipment","Fare Handling Equipment - SOGR",0,0,0,0,0,0,0,0,0,250,250,"CW","City Wide","State of Good Repair"
"4678","Toronto Transit Commission","On-Grade Paving Rehabilitation","On-Grade Paving Rehabilitation - SOGR",0,0,0,0,0,0,0,0,0,2700,2700,"CW","City Wide","State of Good Repair"
"4679","Toronto Transit Commission","Power Dist./Electric Systems - Various","Power Dist./Electric Systems - SOGR",0,0,0,0,0,0,0,36,7859,8050,15945,"CW","City Wide","State of Good Repair"
"4680","Toronto Transit Commission","Other Service Planning","Other Service Planning Expansion",469,0,0,0,0,0,0,0,0,0,469,"CW","City Wide","Growth Related"
"4681","Toronto Transit Commission","Purchase of Streetcars","Purchase of Streetcars - GE",0,0,14734,0,0,0,0,0,0,0,14734,"CW","City Wide","Growth Related"
"4682","Toronto Transit Commission","Communications - Various","Communications - SOGR",2486,7888,0,0,0,1468,1479,1492,1492,648,16953,"CW","City Wide","State of Good Repair"
"4683","Toronto Transit Commission","ATC Resignalling","ATC BD Resignalling - SOGR",2417,0,0,0,0,0,0,0,0,-100748,-98331,"CW","City Wide","State of Good Repair"
"4684","Toronto Transit Commission","Purchase of Rail Non-Revenue Vehicle","Purchase of Rail Non-Revenue Vehicle - Improvement",589,0,0,0,0,0,0,0,0,0,589,"CW","City Wide","Service Improvement and Enhancement"
"4685","Transit Studies","Transit Projects","Waterfront Transit",0,0,0,4322,4322,0,0,0,0,0,8644,"CW","City Wide","Growth Related"
"4686","Toronto Transit Commission","Fire Ventilation Upgrade","Fire Ventilation Upgrade - SOGR",-18369,0,0,0,0,0,0,0,0,0,-18369,"CW","City Wide","State of Good Repair"
"4687","Toronto Transit Commission","Power Dist./Electric Systems - Various","Power Dist./Electric Systems - SOGR",26,27,28,29,30,32,0,0,0,0,172,"CW","City Wide","State of Good Repair"
"4688","Toronto Transit Commission","Traction Power - Various","Traction Power - SOGR",0,5008,0,0,0,0,0,0,0,0,5008,"CW","City Wide","State of Good Repair"
"4689","Toronto Transit Commission","Queensway Bus Garage Renovations","Queensway Bus Garage Renovations - SOGR",0,0,0,0,0,0,0,0,-65,0,-65,"3","Etobicoke-Lakeshore","State of Good Repair"
"4690","Toronto Transit Commission","Traction Power - Various","Traction Power - SOGR",15633,3247,0,0,0,0,0,0,0,0,18880,"CW","City Wide","State of Good Repair"
"4691","Toronto Transit Commission","ATC Resignalling","ATC BD Resignalling - SOGR",0,0,0,0,0,0,0,22106,18399,0,40505,"CW","City Wide","State of Good Repair"
"4692","Toronto Transit Commission","ATC Resignalling","ATC BD Resignalling - SOGR",0,0,0,0,0,33029,33273,34276,32354,51829,184761,"CW","City Wide","State of Good Repair"
"4693","Toronto Transit Commission","Purchase of Rail Non-Revenue Vehicle","Purchase of Rail Non-Revenue Vehicle - SOGR",0,0,0,0,0,0,0,0,0,8035,8035,"CW","City Wide","State of Good Repair"
"4694","Toronto Transit Commission","Furniture & Office Equipment","Furniture & Office Equipment - SOGR",265,75,26,0,0,0,0,0,0,0,366,"CW","City Wide","State of Good Repair"
"4695","Toronto Transit Commission","Communications - Various","Communications - SOGR",171,390,0,0,0,0,0,0,0,0,561,"CW","City Wide","State of Good Repair"
"4696","Toronto Transit Commission","Line 4","Line 4 - Expansion",500,3205,0,0,0,0,0,0,0,0,3705,"CW","City Wide","Growth Related"
"4697","Toronto Transit Commission","Corporate Initiatives - CLA","Corporate Initiatives - CLA -  SOGR",0,0,0,0,0,0,0,0,0,9860,9860,"CW","City Wide","State of Good Repair"
"4698","Toronto Transit Commission","Communications - Various","Communications - Legislated",486,454,436,405,399,392,376,372,365,356,4041,"CW","City Wide","Legislated"
"4699","Toronto Transit Commission","Information Technology System-Infrastructure","Information Tech. Systems-Infrastructure SI",-2803,0,0,0,0,0,0,0,0,0,-2803,"CW","City Wide","Service Improvement and Enhancement"
"4700","Toronto Transit Commission","Information Technology System-Infrastructure","Information Tech. System-Infrastructure - SOGR",14125,14940,12460,9258,0,0,0,0,0,0,50783,"CW","City Wide","State of Good Repair"
"4701","Toronto Transit Commission","Other Service Planning","2023 Reduction Target - Other Serv Planning - SI",-6255,0,0,0,0,0,0,0,0,0,-6255,"CW","City Wide","Service Improvement and Enhancement"
"4702","Toronto Transit Commission","Rail Non-Revenue Vehicle Overhaul","2023 Reduction Target - Rail Non-RV OH - SOGR",-1733,0,0,0,0,0,0,0,0,0,-1733,"CW","City Wide","State of Good Repair"
"4703","Toronto Transit Commission","Purchase of Streetcars","Purchase of Streetcars - SOGR",6560,67838,0,0,0,0,0,0,0,0,74398,"CW","City Wide","State of Good Repair"
"4704","Toronto Transit Commission","Purchase of Streetcars","Purchase of Streetcars - GE",0,0,0,610,0,0,0,0,0,0,610,"CW","City Wide","Growth Related"
"4705","Toronto Transit Commission","Environmental Programs","Environmental Programs - Legislated",13212,19032,11617,-6856,0,0,0,0,0,0,37005,"CW","City Wide","Legislated"
"4706","Toronto Transit Commission","Streetcar Overhaul Program","Streetcar Overhaul Program - SOGR",512,10508,8373,620,0,15021,17536,0,0,0,52570,"CW","City Wide","State of Good Repair"
"4707","Toronto Transit Commission","Other Bldgs & Structures Projects","Buildings and Structures - HS",1100,13640,23902,27888,14525,13536,0,0,0,0,94591,"CW","City Wide","Health and Safety"
"4708","Toronto Transit Commission","Other Bldgs & Structures Projects","Other Buildings & Structures Projects - SOGRS",4852,0,0,0,0,0,0,0,0,4469,9321,"CW","City Wide","State of Good Repair"
"4709","Toronto Transit Commission","Equipment - Various","Equipment -SOGRS",33144,29637,9859,-8208,0,0,0,0,0,0,64432,"CW","City Wide","State of Good Repair"
"4710","Toronto Transit Commission","Equipment - Various","Equipment - SOGR",0,0,0,15274,0,0,0,0,0,0,15274,"CW","City Wide","State of Good Repair"
"4711","Toronto Transit Commission","Surface Track","Surface Track - SOGR",0,7051,0,0,0,0,0,0,0,0,7051,"CW","City Wide","State of Good Repair"
"4712","Toronto Transit Commission","Surface Track","2023 Reduction Target - Surface Track - SI",-642,0,0,0,0,0,0,0,0,0,-642,"CW","City Wide","Service Improvement and Enhancement"
"4713","Toronto Transit Commission","Automotive Non-Revenue Vehicles","Automotive Non-Revenue Vehicles - SOGR",2498,3229,7717,10334,2680,-31507,0,0,0,0,-5049,"CW","City Wide","State of Good Repair"
"4714","Solid Waste Management","COLLECTION YARD ASSET MANAGEMENT","CYAM - BERMONDSEY",0,0,0,0,0,260,321,333,403,0,1317,"CW","City Wide","State of Good Repair"
"4715","Solid Waste Management","COLLECTION YARD ASSET MANAGEMENT","CYAM - INGRAM",0,0,0,0,0,108,211,213,259,0,791,"CW","City Wide","State of Good Repair"
"4716","Solid Waste Management","COLLECTION YARD ASSET MANAGEMENT","CYAM - GENERAL",0,0,0,0,0,107,124,843,865,1118,3057,"CW","City Wide","State of Good Repair"
"4717","Wastewater Program","DON & WATERFRONT TRUNK CSO","Don & Waterfront Trunk/CSO Constr - OFFLINE TANKS",0,0,0,0,0,0,0,215,644,644,1503,"CW","City Wide","Service Improvement and Enhancement"
"4718","Toronto Parking Authority","CP246 Decommission","CP246 Decommission",237,0,0,0,0,0,0,0,0,0,237,"9","Davenport","State of Good Repair"
"4719","Toronto Parking Authority","Innovation Hubs X2","Innovation Hubs X2",170,150,200,250,250,0,0,0,0,0,1020,"CW","City Wide","Growth Related"
"4720","Solid Waste Management","Green Lane Landfill Development","Cell Excavation & Base Construction - Future Years",0,0,0,0,0,1453,0,0,0,0,1453,"CW","City Wide","Legislated"
"4721","Solid Waste Management","Green Lane Landfill Development","Landfill Gas Control System",0,0,0,0,0,-178,0,0,0,0,-178,"CW","City Wide","Legislated"
"4722","Wastewater Program","WET WEATHER FLOW MP","10YR WWFMMP PUBLIC EDUCATION",0,73,44,44,44,44,44,44,44,44,425,"CW","City Wide","Service Improvement and Enhancement"
"4723","Wastewater Program","WET WEATHER FLOW MP","STORM WATER POND ASSESSMENT & CLEANING - 10 YEAR",0,0,550,1500,1500,2000,1850,1500,1500,1000,11400,"CW","City Wide","State of Good Repair"
"4724","Wastewater Program","SEWER REPLACEMENT PROGRAM","10YR SEWER REPLACEMENT",0,0,478,683,968,968,968,968,968,968,6969,"CW","City Wide","State of Good Repair"
"4725","Wastewater Program","ASHBRIDGES BAY WWTP - LIQUID TREATMENT & HANDLING","M&T DECOMMISSIONING",0,0,0,0,0,0,126,252,252,1019,1649,"CW","City Wide","State of Good Repair"
"4726","Water Program","TRANSMISSION R&R","TRANS FACILITIES REHAB - 10 YEAR",0,0,0,850,850,850,850,850,850,850,5950,"CW","City Wide","State of Good Repair"
"4727","Water Program","TRANSMISSION R&R","RESERVOIR REHAB - FUTURE - ENG",0,25,925,800,1500,1710,1200,1825,540,35,8560,"CW","City Wide","State of Good Repair"
"4728","Wastewater Program","SEWER ASSET PLANNING","SEWER ASSET PLANNING - 10 YEAR",0,1386,1909,1527,1909,6681,6681,6681,6681,6681,40136,"CW","City Wide","Service Improvement and Enhancement"
"4729","Solid Waste Management","Two-Way Radio Replacement","Two-Way Radio Replacement",0,0,0,0,0,0,0,0,0,75,75,"CW","City Wide","Service Improvement and Enhancement"
"4730","Toronto Parking Authority","Health & Safety Fire Stopping","Health Safety Fire Stopping",212,60,0,0,0,1000,1000,1000,1000,1000,5272,"CW","City Wide","Health and Safety"
"4731","Solid Waste Management","Diversion Systems Bins","2nd Generation Green Bin Replacement - Future Year",0,0,0,0,0,400,400,400,400,400,2000,"CW","City Wide","Service Improvement and Enhancement"
"4732","Water Program","WATER EFFICIENCY PROGRAM","WEP - FUTURE -ICI",0,0,120,120,218,221,224,227,230,234,1594,"CW","City Wide","Growth Related"
"4733","Water Program","PW ENGINEERING","WATERMAIN ASSET PLANNING - 10 YEAR",0,56,64,161,262,404,404,404,404,404,2563,"CW","City Wide","Service Improvement and Enhancement"
"4734","Toronto Parking Authority","O'Connor on-street integrated EV design and constr","O'Connor on-street integrated EV design and constr",0,99,0,0,0,0,0,0,0,0,99,"CW","City Wide","Growth Related"
"4735","Water Program","RL CLARK W.T.P. R&R","FACILITY & PROCESS UPGRADES - FUTURE",0,0,0,0,250,250,250,250,250,250,1500,"CW","City Wide","State of Good Repair"
"4736","Wastewater Program","SEWER SYSTEM REHABILITATION","BRICK SEWER RENEWAL - 10 YEAR",0,0,0,7000,8000,10000,11600,12500,12500,12500,74100,"CW","City Wide","State of Good Repair"
"4737","Wastewater Program","Land Acquisition for Source Water Protect","TRCA - CRITICAL EROSION SITES - FUTURE",0,2000,2000,2000,2000,2000,2000,2000,2000,2000,18000,"CW","City Wide","Service Improvement and Enhancement"
"4738","Wastewater Program","Land Acquisition for Source Water Protect","TRCA - WATERCOURSE EROSION CONTROL",0,1026,372,637,644,644,644,644,644,644,5899,"CW","City Wide","Service Improvement and Enhancement"
"4739","Wastewater Program","Land Acquisition for Source Water Protect","TRCA - WATERCOURSE EROSION CONTROL",0,1841,1361,2330,2356,2356,2356,2356,2356,2356,19668,"CW","City Wide","Service Improvement and Enhancement"
"4740","Water Program","WT&S PLANTWIDE","UV DISINFECTION - ENGINEERING",0,0,0,0,600,1100,1500,1980,1600,1300,8080,"CW","City Wide","Service Improvement and Enhancement"
"4741","Water Program","HARRIS W.T.P. R&R","FACILITY & PROCESS UPGRADES - FUTURE",0,0,0,0,500,500,500,500,500,500,3000,"CW","City Wide","State of Good Repair"
"4742","Wastewater Program","BASEMENT FLOODING RELIEF","BASEMENT FLOODING PROTECTION SUBSIDY PRG - FUTURE",0,0,5500,5500,5500,5500,5500,5500,5500,5500,44000,"CW","City Wide","Service Improvement and Enhancement"
"4743","Wastewater Program","SEWAGE PUMPING STATION UPGRADES","STANDBY POWER",0,0,0,0,80,870,30,5,0,0,985,"CW","City Wide","Service Improvement and Enhancement"
"4744","Solid Waste Management","FLEET TECHNOLOGY ENHANCEMENTS","FLEET TECHNOLOGY ENHANCEMENTS",0,0,0,0,0,0,0,0,0,300,300,"CW","City Wide","Service Improvement and Enhancement"
"4745","Toronto Parking Authority","Building Condition Assessments","Building Condition Assessments",1572,0,0,0,0,0,0,0,0,0,1572,"CW","City Wide","State of Good Repair"
"4746","Toronto Parking Authority","Health & Safety Emergency Generators","Health Safety Emergency Generators",1700,1200,400,0,0,0,0,0,0,0,3300,"CW","City Wide","Health and Safety"
"4747","Solid Waste Management","Long Term Waste Management Strategy","MIXED WASTE PROCESSING W/ ORGANICS RCVRY",111,0,0,0,0,0,0,0,0,0,111,"CW","City Wide","Service Improvement and Enhancement"
"4748","Solid Waste Management","Biogas Utilization","Biogas Utilization at Disco",2,0,0,0,0,0,0,0,0,0,2,"CW","City Wide","Service Improvement and Enhancement"
"4749","Solid Waste Management","Transfer Station Asset Management","Transfer Station Asset Managemnet-2017",-16,-17,0,0,0,0,0,0,0,0,-33,"CW","City Wide","State of Good Repair"
"4750","Solid Waste Management","OPF ASSET MANAGEMENT","DISCO OPF",625,0,0,0,0,0,0,0,0,0,625,"CW","City Wide","State of Good Repair"
"4751","Solid Waste Management","COLLECTION YARD ASSET MANAGEMENT","CYAM - GENERAL",59,0,0,0,0,0,0,0,0,0,59,"CW","City Wide","State of Good Repair"
"4752","Water Program","LAWRENCE ALLAN REVITALIZATION PLAN","LARP - INTERNAL - PHASE 3",0,0,0,0,0,0,1290,1290,1290,1290,5160,"CW","City Wide","Growth Related"
"4753","Solid Waste Management","Green Lane Landfill Development","Leachate Control System",207,208,333,0,0,0,0,0,0,0,748,"CW","City Wide","Legislated"
"4754","Solid Waste Management","Green Lane Landfill Development","Landfill Gas Control System",0,1642,667,356,0,0,0,0,0,0,2665,"CW","City Wide","Legislated"
"4755","Solid Waste Management","COLLECTION YARD ASSET MANAGEMENT","CYAM - YONGE",57,51,58,0,0,0,0,0,0,0,166,"CW","City Wide","State of Good Repair"
"4756","Solid Waste Management","COLLECTION YARD ASSET MANAGEMENT","CYAM - YONGE",-29,26,-50,65,0,0,0,0,0,0,12,"CW","City Wide","State of Good Repair"
"4757","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","TSAM GENERAL",936,0,-159.48,0,0,0,0,0,0,0,776.52,"CW","City Wide","State of Good Repair"
"4758","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","INGRAM TS",235,0,0,0,0,0,0,0,0,0,235,"CW","City Wide","State of Good Repair"
"4759","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","INGRAM TS",103,0,0,0,0,0,0,0,0,0,103,"CW","City Wide","State of Good Repair"
"4760","Solid Waste Management","Biogas Utilization","Biogas Utilization at Disco",73,0,0,0,0,0,0,0,0,0,73,"CW","City Wide","Service Improvement and Enhancement"
"4761","Solid Waste Management","Biogas Utilization","Biogas Utilization at Dufferin",13,0,0,0,0,0,0,0,0,0,13,"CW","City Wide","Service Improvement and Enhancement"
"4762","Solid Waste Management","Transfer Station Asset Management","Transfer Station Asset Management-CSW361-18",2,2,0,0,0,0,0,0,0,0,4,"CW","City Wide","State of Good Repair"
"4763","Solid Waste Management","Transfer Station Asset Management","Transfer Station Asset Managemnet-2017",-63,0,0,0,0,0,0,0,0,0,-63,"CW","City Wide","State of Good Repair"
"4764","Solid Waste Management","Diversion Systems Bins","2nd Generation Green Bin Replacement",450,450,450,0,0,0,0,0,0,0,1350,"CW","City Wide","Service Improvement and Enhancement"
"4765","Solid Waste Management","Diversion Systems Bins","Multi-Residential In-Unit Recycling Bags",25,25,25,25,25,0,0,0,0,0,125,"CW","City Wide","Service Improvement and Enhancement"
"4766","Solid Waste Management","Diversion Systems Bins","Replacement Waste Bins Single Family - Change",2000,2000,2000,2000,2000,2000,2000,2000,0,0,16000,"CW","City Wide","Service Improvement and Enhancement"
"4767","Solid Waste Management","Diversion Facilities Asset Management","Diversion Facilities Asset Management-2018",0,6,0,0,0,0,0,0,0,0,6,"CW","City Wide","State of Good Repair"
"4768","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","SCARBOROUGH TS - FC",403,-348,-171,0,0,0,0,0,0,0,-116,"CW","City Wide","State of Good Repair"
"4769","Solid Waste Management","SWM IT Application Initiatives","TOwaste Mobile App version 2.0",385,0,0,0,0,0,0,0,0,0,385,"CW","City Wide","Service Improvement and Enhancement"
"4770","Solid Waste Management","SWM IT Application Initiatives","Complaint & Enquiry Management Solution",95,0,0,0,0,0,0,0,0,0,95,"CW","City Wide","Service Improvement and Enhancement"
"4771","Solid Waste Management","SWM IT Application Initiatives","Contract Management Solution - Implementation",0,-226,-377,603,0,0,0,0,0,0,0,"CW","City Wide","Service Improvement and Enhancement"
"4772","Solid Waste Management","Long Term Waste Management Strategy","LONG TERM WASTE MANAGEMENT STRATEGY UPDATE",350,0,0,500,0,0,0,0,0,0,850,"CW","City Wide","Service Improvement and Enhancement"
"4773","Solid Waste Management","Long Term Waste Management Strategy","Policy Planning Studies",500,500,500,500,0,0,0,0,0,0,2000,"CW","City Wide","Service Improvement and Enhancement"
"4774","Solid Waste Management","PERPETUAL CARE OF LANDFILLS","MULTI-CLOSED LANDFILLS",3621,3331,2981,0,0,0,0,0,0,0,9933,"CW","City Wide","Legislated"
"4775","Solid Waste Management","SWM IT Application Initiatives","SWMS Stakeholder-Customer Relationship Management",100,0,0,0,0,0,0,0,0,0,100,"CW","City Wide","Service Improvement and Enhancement"
"4776","Solid Waste Management","Engineering Planning Studies","Engineering Planning Studies - 2021 New",-355,-492,442,384,360,0,0,0,0,0,339,"CW","City Wide","Service Improvement and Enhancement"
"4777","Solid Waste Management","RENEWABLE NATURAL GAS KVL","RNG KVL",500,0,0,0,0,0,0,0,0,0,500,"CW","City Wide","State of Good Repair"
"4778","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","COMMISSIONERS TS",424,395,253,505,71,15,534,250,0,0,2447,"CW","City Wide","State of Good Repair"
"4779","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","DISCO TS",1391,1544,1144,1090,857,593,608,250,0,0,7477,"CW","City Wide","State of Good Repair"
"4780","Solid Waste Management","TRANSFER STATION ASSET MANAGEMENT","INGRAM TS",1505,1359,2271,401,71,385,456,150,0,0,6598,"CW","City Wide","State of Good Repair"
